x,y
0.000787,335.8936
0.000622,335.8886
-0.00052,335.9086
0.000832,335.8861
0.000226,335.8908
0.000573,335.8977
0.001132,335.902
0.000133,335.8533
0.001167,335.8574
0.00041,335.8895
0.000368,335.8702
0.000239,335.9148
0.0000564,335.8362
0.000109,335.9544
0.000507,335.98
-0.00055,335.9738
0.0000136,335.9501
0.000725,335.8942
0.000384,335.937
0.000898,335.927
0.002276,335.9666
-0.00076,335.9716
0.001161,335.9052
-0.00043,335.9373
0.001497,335.9173
-0.00044,335.9585
0.001133,335.9504
-0.00021,335.8989
0.001211,335.9239
0.000425,335.9669
0.000609,335.9791
0.001135,335.9629
0.000549,335.9445
-0.00066,335.9685
0.0000987,335.9685
-0.00074,335.9616
0.000719,335.9183
-0.00052,335.9797
0.000315,336.0309
0.00147,336.015
0.000448,336.0172
-0.000036,335.9716
0.000603,336.0278
0.001574,336.0184
-0.000056,336.0203
-0.00008,336.0456
0.0000885,335.981
-0.00014,336.0334
0.0000498,336.0284
0.000826,336.0353
0.001107,336.0047
0.000358,336.0172
0.00065,336.0409
0.000257,336.0471
-0.0005,336.0549
0.000352,335.9972
-0.00046,336.0019
0.000653,336.0181
-0.00113,336.0356
0.001292,336.0003
0.000289,335.9791
0.001195,336.0733
-0.00034,336.1008
0.001322,336.0973
0.000173,336.102
0.000554,336.0303
-0.00035,336.097
0.000668,336.107
0.000985,336.0989
0.000808,336.0689
-0.00036,336.0518
-0.0005,336.1123
-0.00012,336.122
0.001787,336.1257
0.000509,336.1089
-0.0000063,336.0661
0.0000899,336.0883
0.001602,336.1101
-0.00085,336.0936
-0.000052,336.1042
0.000731,336.0736
-0.00106,336.1008
0.000683,336.122
-0.00015,336.0983
0.001014,336.0618
0.001021,336.1541
0.000386,336.175
0.00166,336.1903
0.001293,336.1872
-0.00071,336.1051
0.00105,336.166
0.000836,336.1863
0.000436,336.1919
0.000862,336.1607
0.000376,336.1251
0.000123,336.1782
-0.00016,336.185
0.001611,336.1778
0.000534,336.1438
0.001102,336.1313
0.000504,336.1613
0.001118,336.1632
0.000642,336.1604
0.000957,336.1853
0.000354,336.1663
0.000264,336.1688
0.001041,336.1635
-0.000083,336.1722
0.000175,336.1011
0.000671,336.2268
0.001268,336.2487
-0.00034,336.2546
0.0000829,336.2518
-0.00069,336.1828
0.000446,336.2387
0.000917,336.2281
0.000524,336.2468
-0.0004,336.2452
-0.00038,336.1881
0.000334,336.2562
-0.00033,336.2493
0.000535,336.2565
0.000924,336.2693
0.000671,336.1922
0.000306,336.2571
0.000615,336.2602
-0.000049,336.2627
0.00148,336.2577
0.000766,336.214
-0.00044,336.2455
0.000611,336.2502
0.000637,336.2518
0.000034,336.1947
0.000887,336.288
0.000988,336.2899
-0.00013,336.3388
-0.00103,336.3158
0.000382,336.2349
-0.00025,336.3179
0.001226,336.2983
0.001131,336.3298
0.001368,336.3076
0.000134,336.2711
-0.00101,336.3095
0.0000781,336.3257
0.000277,336.3158
0.001838,336.3261
0.000826,336.3126
0.000532,336.3261
-0.00145,336.3289
-0.0006,336.3204
0.000974,336.3086
0.00146,336.2846
0.000375,336.3114
-0.00034,336.3413
0.000849,336.3151
0.000522,336.2992
0.000373,336.3573
0.000739,336.3903
0.001504,336.4009
0.001708,336.3863
0.0000731,336.3204
0.000858,336.3694
0.00038,336.4137
0.00115,336.3988
-0.0002,336.3878
0.000947,336.3507
0.000331,336.3844
-0.00046,336.4159
0.000723,336.3719
0.000291,336.4031
0.000737,336.3582
-0.00076,336.3959
0.000353,336.4044
-0.00035,336.4075
0.000387,336.3732
0.001022,336.3778
-0.0000041,336.3922
-0.00029,336.4221
0.000451,336.4093
0.000318,336.356
0.000637,336.4565
0.001086,336.4693
0.001065,336.4746
-0.00032,336.4792
0.000857,336.3763
0.001283,336.4593
-0.00026,336.4799
0.000193,336.4805
-0.00074,336.4636
-0.00043,336.3959
0.000826,336.4627
0.000288,336.4724
0.000563,336.5011
0.001178,336.4721
0.001356,336.4143
0.000404,336.4512
0.000148,336.4671
0.000193,336.4571
0.001396,336.4558
0.000821,336.448
0.000169,336.4795
-0.00027,336.4256
0.000899,336.4393
-0.00043,336.4031
0.000856,336.4814
-0.00038,336.5232
0.000253,336.5251
-0.00081,336.5186
0.001698,336.4861
-0.00052,336.5323
0.000694,336.5257
-0.00033,336.5348
0.00046,336.5498
0.000277,336.4983
0.001634,336.5245
0.000829,336.5285
0.000803,336.5616
0.000281,336.527
0.001307,336.4952
0.000848,336.5594
0.000504,336.5448
0.00068,336.5504
0.000295,336.5304
0.001876,336.503
0.000145,336.5217
0.000562,336.5232
-0.00013,336.5176
-0.00058,336.488
0.000612,336.6477
0.000208,336.6883
0.001351,336.6793
0.000868,336.6895
0.001002,336.6371
-0.00052,336.6633
0.001009,336.6883
0.000458,336.6902
0.000456,336.688
0.000687,336.6221
0.001629,336.6674
0.001527,336.6942
0.000214,336.6902
-0.00025,336.6683
0.000869,336.6512
0.00052,336.6821
-0.00075,336.673
0.000518,336.697
-0.00019,336.6771
0.000901,336.6611
0.000884,336.6771
0.001021,336.7017
-0.000078,336.7129
-0.00096,336.664
0.001747,336.7498
0.001494,336.7679
0.0000869,336.7791
-0.00012,336.7604
0.000576,336.7036
0.00116,336.7463
0.000758,336.7753
0.001285,336.742
0.000107,336.7738
0.001213,336.6727
0.000672,336.7554
-0.00024,336.751
0.001505,336.77
0.001112,336.76
-0.000094,336.7223
0.000708,336.732
0.000156,336.785
-0.000065,336.7594
0.00000748,336.7647
0.000855,336.7398
0.000725,336.7566
0.000521,336.7863
0.000357,336.7691
-0.00018,336.7067
-0.00048,336.8821
0.000525,336.9079
0.001335,336.8989
0.000505,336.9114
0.000816,336.8418
0.000949,336.8849
-0.00038,336.9301
0.000151,336.8967
0.000696,336.9133
0.000915,336.8618
-0.00017,336.8983
-0.00022,336.9017
0.00067,336.8905
0.000933,336.8986
0.001144,336.8677
0.00132,336.9285
0.001472,336.9242
0.000669,336.9095
0.000957,336.8983
0.001765,336.888
0.000074,336.8761
0.0000104,336.8796
-0.000025,336.9148
0.000464,336.8474
0.000427,336.9872
0.000694,337.0112
0.001365,337.0331
0.000336,337.0437
0.001531,336.9716
0.001277,337.048
0.0000731,337.0727
0.001223,337.0524
0.001303,337.0596
0.0000502,336.9666
0.001992,337.0265
0.000778,337.058
0.000797,337.038
0.000538,337.0128
0.001217,337.0147
-0.00083,337.0434
-0.00035,337.0455
-0.00089,337.0446
-0.0004,337.015
0.000712,336.9913
0.000804,337.0533
0.000156,337.0309
0.000896,337.0343
0.0000833,337.0037
-0.00011,337.1292
0.001464,337.204
0.001049,337.2084
0.000152,337.1856
-0.00029,337.1242
0.0000326,337.1997
0.000971,337.1888
0.001101,337.1913
0.000482,337.1785
-0.000038,337.1473
0.001057,337.1813
0.000585,337.1881
0.000258,337.2175
0.000961,337.2068
0.001564,337.1601
0.001215,337.1894
0.000736,337.1894
0.000544,337.1866
0.000648,337.19
0.001183,337.1822
-0.0004,337.1894
0.000503,337.1906
-0.000078,337.2206
0.000727,337.1335
0.00046,337.3064
0.000681,337.322
0.000966,337.3744
-0.00029,337.3444
0.00111,337.2964
0.001116,337.3438
0.00121,337.3279
-0.00024,337.3588
0.000508,337.3207
0.000911,337.2808
0.00035,337.3354
0.001514,337.3332
0.000662,337.3248
0.000605,337.3582
0.001072,337.2858
0.000794,337.366
0.000934,337.3494
0.000152,337.3451
0.001791,337.3382
0.001084,337.3092
0.000412,337.3348
0.000151,337.3619
0.001047,337.3526
0.0001,337.3092
-0.00031,337.4293
0.002224,337.4714
0.001422,337.493
0.000859,337.4814
0.000215,337.4268
0.001301,337.4867
0.000476,337.4833
-0.00051,337.4861
0.000468,337.4923
-0.00037,337.4543
0.000132,337.4733
-0.00044,337.4861
-0.00069,337.5036
0.001736,337.4845
0.00128,337.4287
0.000624,337.4867
0.00054,337.487
0.000484,337.4664
0.000787,337.4864
-0.00029,337.4502
0.001496,337.4742
-0.000069,337.4998
0.001742,337.4808
-0.0000068,337.4287
0.0003,337.6084
0.00124,337.6331
0.001646,337.6234
0.000357,337.6203
0.000451,337.5657
-0.00007,337.6047
-0.00035,337.6153
0.00089,337.654
0.001529,337.609
0.0000412,337.5753
0.000708,337.6118
0.000504,337.6455
0.001401,337.6496
0.000921,337.6218
0.002254,337.6203
0.000152,337.6462
0.000807,337.649
0.001452,337.6115
0.000151,337.6299
0.001042,337.6115
0.000525,337.6218
0.001005,337.6477
0.000213,337.634
0.000865,337.5847
0.000311,337.6995
0.000238,337.7909
0.001335,337.7834
0.000964,337.7778
0.000439,337.7232
0.000981,337.7728
-0.00053,337.7706
0.001836,337.7838
0.001487,337.7703
0.000433,337.7198
0.000112,337.7438
-0.00007,337.7672
0.001727,337.7778
0.000775,337.7719
0.00128,337.7641
0.000669,337.761
0.000872,337.7859
0.000789,337.756
0.001135,337.7847
0.000819,337.7563
0.00141,337.7869
0.001488,337.7931
0.0002,337.8081
0.000836,337.7519
0.000272,337.9551
0.001341,337.985
0.001831,338.0106
0.000658,338.0034
0.000326,337.9394
-0.0005,337.9775
-0.00014,337.9703
0.000616,337.9657
0.000807,337.9859
0.000889,337.9341
0.001289,337.9613
0.000436,338.014
0.000939,337.9934
0.000221,337.9947
0.00067,337.9519
0.000568,337.9697
-0.00029,338.0006
-0.00021,337.9894
-0.00063,337.9966
-0.00049,337.9728
-0.00071,338.0087
0.00047,337.9984
0.001773,337.9847
0.0000629,337.9806
-0.000096,338.0714
0.001525,338.1282
0.001209,338.0992
0.000532,338.1594
0.000777,338.0661
0.000909,338.1188
0.000498,338.1438
0.001134,338.1519
0.000642,338.1338
-0.00014,338.093
0.000629,338.1276
0.00000271,338.1603
-0.00055,338.1398
0.001448,338.1292
0.000413,338.1073
0.000777,338.132
-0.00028,338.131
0.000668,338.1669
0.000599,338.1335
-0.000075,338.1048
0.000823,338.1248
0.001954,338.1033
0.001687,338.1307
0.001513,338.0795
0.000472,338.209
-0.00021,338.2786
0.001327,338.2624
0.000416,338.288
0.001393,338.2306
0.000643,338.2727
0.001333,338.268
0.001642,338.2667
0.000792,338.2905
0.001702,338.2068
-0.000051,338.2739
0.000998,338.2746
0.000782,338.2905
0.000305,338.2546
-0.00016,338.248
0.002239,338.2908
0.000581,338.2898
-0.00094,338.2951
0.000778,338.2964
-0.00011,338.2702
0.000986,338.2814
-0.0003,338.2692
0.000271,338.2739
-0.000005,338.2792
0.00135,338.3351
0.000724,338.3703
-0.00069,338.3585
-0.00039,338.3398
0.000853,338.2976
0.0000493,338.3591
0.001176,338.3394
0.001036,338.3607
0.00116,338.3451
0.001503,338.3064
0.001253,338.3469
-0.00036,338.3853
0.001394,338.3635
0.001453,338.3725
0.00077,338.3048
0.000716,338.3625
-0.00029,338.3394
0.000439,338.3794
0.001661,338.3625
0.0000797,338.327
-0.00013,338.3557
0.001047,338.376
0.00086,338.3669
0.000365,338.3235
0.000948,338.516
0.001376,338.5681
-0.00011,338.5784
0.00172,338.57
0.000441,338.5048
0.000547,338.5694
-0.00012,338.5678
0.000883,338.5856
0.001301,338.594
0.00074,338.4864
-0.00021,338.5616
0.000884,338.6109
0.000369,338.5706
0.001369,338.5928
0.001212,338.516
0.000578,338.5766
0.001258,338.5731
-0.00039,338.5566
0.000814,338.5803
0.000981,338.546
0.000998,338.5681
-0.00073,338.565
-0.00053,338.5866
0.001037,338.5407
0.000754,338.6577
-0.000083,338.6951
0.001016,338.6961
0.001092,338.7323
0.000687,338.6677
0.001159,338.7238
0.001768,338.711
0.002455,338.7148
0.001222,338.7404
0.000872,338.6574
0.000377,338.6992
0.001995,338.7213
-0.00023,338.7335
0.000984,338.721
0.000841,338.683
0.001188,338.7129
0.000988,338.7073
0.000308,338.7313
0.000308,338.7419
0.00071,338.6923
0.000766,338.682
0.002011,338.7073
0.001039,338.702
0.000217,338.672
0.000567,338.8022
0.001412,338.8602
0.000962,338.8667
0.000871,338.8724
0.001775,338.8074
0.00112,338.8661
0.001208,338.8589
-0.00027,338.8786
0.001156,338.8758
0.002691,338.7975
-0.00015,338.8883
0.001964,338.8758
-0.00049,338.8689
0.001046,338.8855
0.000956,338.8093
0.000925,338.8708
0.000806,338.8561
0.001781,338.8789
0.001233,338.8883
0.000674,338.8383
0.002996,338.8449
0.001189,338.863
0.001358,338.8833
0.000113,338.8418
0.000571,338.975
0.000411,339.029
0.000576,339.0047
0.002343,339.0343
0.001573,338.9479
-0.00078,338.9872
0.000921,339.0218
0.001539,338.9806
0.001038,339.0043
0.002094,338.9522
0.000948,338.9859
-0.00002,339.0231
0.001252,339.0206
-0.000039,339.0215
0.001935,338.9585
0.000738,339.0165
0.0014,338.9975
0.001033,339.0324
0.000993,339.0115
0.000259,338.9803
0.000192,339.0262
0.000225,339.0171
0.001082,339.014
0.002463,338.9894
0.000539,339.112
0.000813,339.1382
0.001194,339.1575
-0.00022,339.1588
-0.00008,339.0998
0.001183,339.1407
0.000319,339.1644
0.001321,339.1454
0.001834,339.1572
0.00037,339.0948
0.000218,339.155
0.000115,339.1603
-0.00059,339.1728
0.000574,339.175
0.001327,339.0986
0.001242,339.1357
0.002279,339.1497
-0.000055,339.1744
0.000367,339.1525
0.000492,339.1079
0.002409,339.1282
0.000183,339.1544
-0.00063,339.1326
-0.00064,339.1104
0.000123,339.2923
0.001461,339.365
0.000721,339.3937
0.000647,339.35
0.000236,339.3142
0.000809,339.3681
0.001304,339.4053
0.000109,339.3965
0.000792,339.3872
0.001167,339.3132
0.001853,339.3644
0.001457,339.3781
0.0000783,339.3644
0.000546,339.3475
-0.00067,339.3457
0.001711,339.3606
0.000379,339.356
0.00075,339.3762
0.001541,339.3837
-0.00018,339.3322
0.002412,339.3582
0.000412,339.3697
0.001843,339.3631
0.001434,339.3382
0.002039,339.4583
0.000763,339.5123
0.000719,339.517
0.000933,339.5282
0.000545,339.4489
0.001154,339.4976
0.001323,339.5042
0.000667,339.5213
0.000327,339.4783
0.001763,339.4543
0.001065,339.5245
0.000774,339.5145
0.00101,339.5163
0.0000783,339.5226
0.001482,339.463
0.001017,339.5257
0.000151,339.5432
0.000114,339.541
0.001496,339.5329
0.000776,339.4639
0.000563,339.5176
0.000978,339.5057
0.001183,339.541
0.000979,339.5132
0.000472,339.6854
0.000144,339.7438
0.001586,339.7625
0.000868,339.7497
0.00283,339.672
0.001109,339.7195
0.000509,339.7382
0.0001,339.7603
0.00018,339.7457
0.001401,339.6767
0.001503,339.7116
0.000147,339.7307
0.001811,339.7276
-0.00018,339.7195
0.000887,339.6624
0.001002,339.7444
0.000366,339.7466
0.001584,339.7366
-0.00011,339.7276
0.001826,339.7051
0.001028,339.7132
0.001422,339.7357
0.001512,339.7351
0.001704,339.7204
0.001069,339.8661
0.001351,339.9366
0.000686,339.9407
0.00257,339.9585
0.000585,339.8911
0.001565,339.95
0.001003,339.97
0.001047,339.9566
0.00044,339.9644
0.000672,339.8889
0.001613,339.9173
0.001269,339.9616
0.001834,339.9404
0.001208,339.9422
0.000891,339.882
0.000983,339.9379
0.000287,339.9563
0.000976,339.9479
0.000915,339.9441
0.001304,339.9163
0.001269,339.9503
0.000711,339.9338
0.001529,339.9447
0.000269,339.9257
0.000376,340.0985
0.000281,340.1519
0.000199,340.1588
0.000974,340.1753
0.00022,340.1238
0.000765,340.1603
0.001011,340.1628
0.000000456,340.1638
-0.000056,340.1791
0.001703,340.1235
-0.00054,340.1722
0.000394,340.1769
0.000862,340.1566
0.003007,340.175
0.00132,340.1251
0.001285,340.165
0.000524,340.1878
0.000292,340.1797
0.001682,340.1572
0.001017,340.1042
0.001831,340.1494
0.000665,340.1634
0.001658,340.17
0.00234,340.1678
0.0000546,340.3248
0.001683,340.4024
0.000263,340.4024
0.000764,340.4046
0.000445,340.3235
0.0015,340.3725
-0.00034,340.3809
0.001601,340.4106
0.001103,340.3628
0.001985,340.3248
0.000786,340.3934
-0.00026,340.4255
0.00155,340.3996
0.000696,340.3909
0.000437,340.321
0.001166,340.389
0.001571,340.3893
0.001398,340.3984
0.000881,340.4099
0.001315,340.3853
0.000126,340.4028
0.000774,340.3953
0.001696,340.399
0.000077,340.4009
0.002883,340.5216
0.000184,340.5962
0.000672,340.5978
0.001979,340.6349
0.00204,340.5519
0.000663,340.5716
0.001195,340.5772
0.000517,340.6208
0.002277,340.5797
0.00035,340.5432
0.001212,340.6252
0.001437,340.6237
0.000858,340.6049
-0.00024,340.6018
0.001241,340.5868
0.001813,340.6021
0.002603,340.6383
0.000828,340.6255
0.000314,340.5906
0.001286,340.5413
0.000554,340.5962
0.001631,340.6037
0.001348,340.5978
0.000655,340.5822
0.00103,340.7463
0.001242,340.8277
0.001184,340.8468
0.001328,340.8255
0.002419,340.7706
0.001122,340.8034
0.001044,340.8265
0.002061,340.8333
-0.000073,340.8109
0.001562,340.7544
-0.000072,340.8043
0.001651,340.8365
0.000435,340.8474
0.001034,340.8595
0.000521,340.7834
0.001425,340.8224
0.000546,340.8099
-0.00034,340.8396
-0.0007,340.8389
0.002049,340.7647
0.000973,340.8227
0.000812,340.8115
0.002038,340.8255
0.001583,340.8112
0.001632,340.9647
0.000873,341.0499
0.001215,341.0418
0.001593,341.058
0.001873,340.9978
0.001019,341.0339
-0.00046,341.0586
0.001217,341.0358
0.001659,341.0571
0.000714,340.9959
0.000599,341.029
0.001287,341.0455
0.00117,341.0499
0.00000634,341.0517
0.000774,340.9772
0.001349,341.0442
0.001082,341.0502
0.002915,341.0377
-0.0002,341.0577
0.000475,341.0006
0.00057,341.0439
0.002197,341.0496
0.002022,341.0917
0.001739,341.0452
0.00151,341.2115
0.001989,341.2483
0.002362,341.2705
-0.00056,341.2592
0.001753,341.2274
0.001425,341.2539
0.00017,341.2792
0.001855,341.2255
0.000665,341.2599
0.001904,341.1993
0.001135,341.2508
0.001086,341.2642
-0.0009,341.2439
0.000782,341.2614
0.000632,341.2252
-0.00021,341.252
0.001025,341.2673
0.001705,341.2779
0.000913,341.257
0.0000946,341.2265
0.00103,341.2517
0.001393,341.2667
0.001537,341.2692
0.001434,341.2308
0.001652,341.4286
0.001306,341.4661
0.001726,341.4658
0.00085,341.4767
0.001966,341.4296
0.00093,341.4652
0.000984,341.458
0.001905,341.4648
0.001219,341.4739
0.000339,341.4233
0.001503,341.4892
0.00176,341.5042
0.000299,341.4786
0.001379,341.4767
0.000977,341.4158
0.000988,341.4988
0.001821,341.4798
0.001988,341.4739
-0.00009,341.4988
0.001275,341.423
0.000814,341.4901
0.000382,341.4807
0.001643,341.5001
0.00142,341.4689
0.001227,341.6864
0.001884,341.7768
0.000797,341.774
0.001979,341.7628
0.000792,341.7029
0.001493,341.7541
0.001509,341.7719
0.001122,341.7872
0.001069,341.7984
0.000476,341.711
0.001225,341.7572
0.002179,341.7656
0.000901,341.7847
0.00072,341.79
0.000892,341.7132
0.000792,341.779
0.00089,341.7943
0.001877,341.7828
0.003123,341.7834
0.002115,341.7647
0.000993,341.7706
0.001035,341.7519
0.002766,341.7709
0.002995,341.7906
0.001358,341.9456
0.000545,341.9999
0.001146,341.9925
0.001348,342.0065
0.001618,341.9073
0.000934,341.9556
0.001488,341.9984
0.001014,341.9843
0.000486,341.9775
0.000881,341.9148
0.002779,341.9693
0.00158,341.9909
0.0012,341.9912
0.000273,341.9968
0.001334,341.9435
0.001111,342.0077
0.001615,341.9734
0.00218,341.9953
0.001361,341.9862
0.00131,341.9488
0.001919,341.9946
0.000414,341.9825
0.000205,342.0149
0.001285,342.0165
0.0000518,342.1887
0.000854,342.2564
0.001204,342.2814
0.001449,342.2979
0.002605,342.2236
0.001536,342.2527
0.001439,342.282
0.002381,342.2901
0.002504,342.282
0.001589,342.2155
0.001524,342.2932
0.001386,342.2804
0.001655,342.2814
0.001754,342.2601
-0.00053,342.2408
0.000738,342.263
0.00189,342.2917
0.002358,342.297
0.000501,342.2867
0.001016,342.2452
0.001684,342.263
0.002956,342.3001
0.002243,342.2898
0.001952,342.2979
0.001521,342.4246
0.001471,342.4901
0.000584,342.4736
0.00154,342.491
0.00222,342.4255
0.002242,342.4786
0.001929,342.4901
0.000808,342.5045
0.001846,342.5088
0.001544,342.4651
0.001006,342.4873
0.001965,342.5035
0.002027,342.4776
0.000861,342.5129
0.001335,342.4246
0.001061,342.491
0.002329,342.5082
0.001459,342.5104
0.00266,342.5041
0.0000672,342.4333
0.002264,342.4985
0.000897,342.4954
0.000022,342.4935
0.001584,342.492
0.000463,342.6673
0.0000539,342.7874
0.001504,342.7971
0.000742,342.7837
0.002035,342.7375
0.002053,342.7825
0.001693,342.7896
0.00218,342.7871
0.001621,342.7878
0.001355,342.7516
0.002915,342.7946
0.001972,342.8005
-0.0004,342.7656
0.001379,342.7765
0.002019,342.7544
0.001935,342.7868
0.000663,342.7962
0.002463,342.8033
0.001706,342.7943
0.000776,342.7491
0.000889,342.7687
0.0014,342.7753
0.001317,342.7999
0.00098,342.8015
0.001825,342.9484
0.002056,343.0124
0.00098,343.0261
0.002084,343.0249
0.001133,342.9812
0.002039,342.9981
0.002018,342.9793
0.001689,343.0111
0.002481,343.0218
0.000822,342.95
0.001248,343.0055
0.001697,343.0108
0.001403,342.9865
0.00215,343.0193
0.001007,342.9444
0.002001,342.9896
0.001985,343.0146
0.002046,343.0374
0.001461,343.0318
0.002443,342.9756
0.001351,343.0149
0.00091,343.0377
0.000465,343.0296
0.002695,343.0239
0.001444,343.189
0.001804,343.2757
0.001842,343.2873
0.001017,343.3213
0.001357,343.2224
0.001712,343.2786
0.002561,343.2988
0.000439,343.3132
0.001418,343.3057
0.00223,343.2264
-0.000043,343.2811
0.002058,343.2845
0.001523,343.3113
0.001379,343.2839
0.001343,343.2386
0.001305,343.2945
0.000476,343.3019
0.001686,343.3157
0.001415,343.2835
0.002188,343.2707
0.002312,343.3094
0.001672,343.3266
0.000766,343.2951
0.001963,343.2895
-0.00034,343.4639
0.001561,343.5796
0.001595,343.5803
0.001273,343.6102
0.000831,343.5278
0.001091,343.5768
0.00121,343.574
0.002528,343.5884
0.00069,343.6005
-0.0004,343.5197
0.002422,343.5584
0.001622,343.5946
0.001445,343.6093
0.002245,343.5812
0.001823,343.5369
0.001193,343.5693
0.001819,343.584
0.00243,343.5818
0.001704,343.5715
0.000944,343.5494
0.001016,343.5681
0.002114,343.579
0.001665,343.6158
0.001979,343.5725
0.001171,343.7222
0.002073,343.8114
0.002605,343.8161
0.001431,343.8458
0.001722,343.7625
0.002572,343.7949
0.001105,343.7868
0.00165,343.8102
0.001068,343.8127
0.002828,343.7497
0.002151,343.7959
0.001662,343.7971
0.001454,343.8114
-0.00017,343.7971
0.000824,343.7475
0.002455,343.8074
0.001898,343.8108
0.00234,343.8183
0.003082,343.8146
0.001916,343.7802
0.002847,343.809
0.001081,343.7831
0.001998,343.8065
0.002111,343.8021
0.002564,343.9915
0.001688,344.0863
0.001388,344.1051
0.001156,344.1054
0.001694,344.0367
0.002472,344.0823
0.001747,344.0929
0.001342,344.1072
0.00142,344.1029
0.000738,344.0489
